Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,145.26,107.42,37.83,0,88.63,258.78,517.8
2,145.59,106.53,39.06,0,101.15,300.73,783.05
3,94.23,57.15,37.08,0,65.48,234.1,601.36
4,90.56,49.18,41.37,0,50.65,238.69,868.48
5,105.91,61.2,44.71,0,52.84,245.2,977.84
6,112.77,73.24,39.53,0,70.59,234.18,567.66
7,176.83,144.54,32.29,0,133.79,355.08,327.63
8,251.54,220.21,31.33,0,220.26,678.23,324.17
9,216.48,188.6,27.88,0,195.07,426.82,157.0
10,190.99,161.98,29.01,0,179.67,551.51,298.87
11,191.12,156.47,34.65,0,173.13,536.72,427.22
12,201.25,167.59,33.66,0,174.09,503.75,377.6
Total,1922.53,1494.11,428.4,0,1505.35,4563.79,6228.68
