Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,71.47,52.48,18.99,0,66.33,258.78,517.8
2,73.48,56.13,17.36,0,64.89,300.73,783.05
3,58.37,38.91,19.46,0,51.79,234.1,601.36
4,52.43,30.69,21.74,0,36.88,238.69,868.48
5,60.95,38.74,22.21,0,46.52,245.2,977.84
6,65.17,44.5,20.67,0,54.14,234.18,567.66
7,121.85,100.84,21.01,0,110.12,355.08,327.63
8,191.49,169.36,22.13,0,189.11,678.23,324.17
9,161.85,141.95,19.9,0,161.96,426.82,157.0
10,155.47,137.03,18.44,0,161.67,551.51,298.87
11,132.84,113.74,19.1,0,141.72,536.72,427.22
12,142.71,121.79,20.92,0,154.05,503.75,377.6
Total,1288.08,1046.16,241.93,0,1239.18,4563.79,6228.68
