Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,75.21,49.29,25.91,0,50.94,258.78,517.8
2,71.15,45.05,26.09,0,50.4,300.73,783.05
3,51.3,21.94,29.36,0,26.66,234.1,601.36
4,39.29,13.45,25.84,0,15.72,238.69,868.48
5,53.52,18.85,34.67,0,20.85,245.2,977.84
6,54.21,26.93,27.29,0,29.53,234.18,567.66
7,114.93,90.51,24.42,0,100.37,355.08,327.63
8,182.16,157.44,24.72,0,179.51,678.23,324.17
9,159.58,138.29,21.29,1,156.16,426.82,157.0
10,160.65,137.01,23.64,0,156.05,551.51,298.87
11,130.67,104.86,25.8,0,118.63,536.72,427.22
12,133.69,109.15,24.54,0,123.07,503.75,377.6
Total,1226.36,912.77,313.57,1,1027.89,4563.79,6228.68
