Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,188.84,170.89,17.95,0,155.14,474.01,470.16
2,187.08,171.64,15.43,0,170.89,543.74,371.28
3,192.6,175.74,16.86,0,173.75,567.52,483.32
4,198.07,180.48,17.6,0,178.91,544.36,403.48
5,172.8,155.13,17.67,0,161.91,445.37,453.83
6,190.3,172.18,18.12,0,172.65,431.48,223.75
7,190.42,174.22,16.21,0,175.7,461.03,209.66
8,210.54,193.64,16.9,0,200.6,532.53,131.2
9,144.81,131.71,13.1,0,137.42,349.64,145.62
10,181.37,164.56,16.81,0,174.63,438.56,207.49
11,189.23,173.11,16.12,0,173.44,445.79,209.62
12,168.59,151.89,16.7,0,156.29,454.01,560.54
Total,2214.65,2015.19,199.47,0,2031.33,5688.04,3869.95
