Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,240.36,213.49,26.87,0,186.85,379.69,122.84
2,229.83,205.67,24.15,0,196.22,365.3,77.64
3,243.73,218.44,25.29,0,202.87,405.84,112.14
4,251.3,225.61,25.68,0,206.67,399.42,100.56
5,252.05,228.02,24.03,0,217.49,493.22,115.26
6,236.29,212.33,23.96,0,195.92,422.03,131.56
7,243.58,219.77,23.81,0,202.69,389.31,68.63
8,251.78,228.91,22.87,0,208.52,416.01,47.82
9,257.61,233.75,23.86,0,216.37,423.85,47.28
10,261.05,239.17,21.89,0,219.47,457.09,21.74
11,255.37,233.78,21.59,0,209.99,450.57,51.83
12,273.29,250.0,23.29,0,221.49,463.14,46.26
Total,2996.24,2708.94,287.29,0,2484.55,5065.47,943.56
