Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,168.03,145.82,22.21,0,162.5,495.54,194.59
2,124.66,96.44,28.23,0,109.45,485.47,472.7
3,110.18,82.03,28.16,0,91.72,442.95,495.22
4,66.94,36.14,30.81,0,43.22,398.37,1018.85
5,92.99,66.04,26.95,0,71.34,377.75,508.8
6,70.26,47.32,22.94,0,56.09,328.19,784.28
7,47.39,23.44,23.95,0,27.24,273.47,621.87
8,63.82,31.48,32.34,0,35.91,323.86,885.61
9,62.68,32.58,30.1,0,36.63,316.04,881.22
10,73.35,45.05,28.3,1,49.52,340.19,642.6
11,105.74,78.7,27.04,0,88.53,340.81,376.38
12,120.68,98.03,22.66,0,111.22,427.73,327.94
Total,1106.72,783.07,323.69,1,883.37,4550.37,7210.06
