Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,254.46,226.55,27.91,0,215.42,474.01,117.54
2,261.2,236.92,24.28,0,235.16,543.74,92.82
3,256.57,233.18,23.39,0,228.06,567.52,120.83
4,251.27,227.6,23.66,0,228.66,544.36,100.87
5,232.99,209.9,23.09,0,199.51,445.37,113.46
6,244.18,220.65,23.53,0,213.19,431.48,55.94
7,239.48,215.6,23.88,0,221.77,461.03,52.42
8,278.07,253.4,24.67,0,247.83,532.53,32.8
9,217.67,194.25,23.42,0,198.22,349.64,36.4
10,240.25,217.23,23.02,0,212.36,438.56,51.87
11,250.15,226.79,23.36,0,216.06,445.79,52.41
12,224.13,199.56,24.57,0,202.44,454.01,140.13
Total,2950.42,2661.63,288.78,0,2618.68,5688.04,967.49
