Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,194.74,160.68,34.05,0,222.98,474.01,117.54
2,204.64,173.93,30.71,0,231.03,543.74,92.82
3,222.22,187.81,34.4,0,239.84,567.52,120.83
4,220.7,186.91,33.8,0,243.14,544.36,100.87
5,191.81,159.97,31.84,0,211.89,445.37,113.46
6,186.83,153.81,33.02,0,222.88,431.48,55.94
7,185.3,154.79,30.51,0,219.04,461.03,52.42
8,228.19,193.29,34.9,0,252.2,532.53,32.8
9,160.59,130.48,30.12,0,192.67,349.64,36.4
10,200.6,168.09,32.51,0,228.76,438.56,51.87
11,186.49,156.9,29.6,0,207.05,445.79,52.41
12,193.64,160.97,32.66,0,203.01,454.01,140.13
Total,2375.75,1987.63,388.12,0,2674.49,5688.04,967.49
