Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,166.03,134.33,31.7,0,116.61,258.78,295.89
2,155.77,123.19,32.58,0,117.33,300.73,447.46
3,130.52,99.27,31.25,0,101.3,234.1,343.63
4,105.76,73.12,32.63,0,77.62,238.69,496.27
5,108.48,72.72,35.75,0,67.32,245.2,558.76
6,144.78,112.21,32.57,0,107.46,234.18,324.37
7,200.13,173.64,26.5,0,160.73,355.08,187.22
8,275.61,249.36,26.24,0,243.91,678.23,185.24
9,222.67,198.4,24.27,0,198.86,426.82,89.72
10,253.88,225.47,28.4,0,229.41,551.51,170.78
11,211.06,182.12,28.94,0,197.42,536.72,244.13
12,227.58,199.26,28.31,0,195.77,503.75,215.77
Total,2202.27,1843.09,359.14,0,1813.74,4563.79,3559.24
