Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,95.11,75.99,19.12,0,88.89,258.78,295.89
2,102.85,84.27,18.58,0,93.4,300.73,447.46
3,83.19,64.61,18.58,0,76.47,234.1,343.63
4,71.9,51.58,20.33,0,63.43,238.69,496.27
5,72.75,52.01,20.73,0,60.64,245.2,558.76
6,79.75,61.78,17.96,0,73.08,234.18,324.37
7,119.56,103.59,15.97,0,115.19,355.08,187.22
8,191.37,174.36,17.01,0,199.7,678.23,185.24
9,158.42,141.22,17.2,0,165.42,426.82,89.72
10,165.51,146.58,18.93,0,183.17,551.51,170.78
11,156.57,138.23,18.34,0,172.29,536.72,244.13
12,176.84,155.85,20.99,0,176.02,503.75,215.77
Total,1473.82,1250.07,223.74,0,1467.7,4563.79,3559.24
