Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,108.64,92.41,16.23,0,101.4,294.79,218.81
2,90.94,71.04,19.9,0,88.85,284.76,400.1
3,81.66,61.53,20.14,0,78.94,283.52,473.07
4,64.93,43.53,21.4,0,54.3,251.69,1038.69
5,68.1,48.62,19.48,0,61.8,244.76,543.87
6,72.69,53.44,19.25,0,67.85,237.76,815.82
7,72.25,50.66,21.59,0,61.45,228.2,637.17
8,59.15,40.25,18.9,0,55.73,225.76,738.61
9,43.01,23.26,19.75,0,32.18,209.29,681.24
10,42.31,26.11,16.21,0,38.68,216.03,918.77
11,91.98,72.66,19.32,0,79.89,231.46,372.91
12,79.71,62.66,17.05,0,80.13,246.47,329.16
Total,875.37,646.17,229.22,0,801.2,2954.49,7168.22
