Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,117.65,96.23,21.43,0,105.81,294.79,218.81
2,99.29,72.66,26.62,0,78.49,284.76,400.1
3,80.35,53.52,26.83,0,61.68,283.52,473.07
4,49.12,24.2,24.91,0,27.26,251.69,1038.69
5,64.26,34.26,29.99,0,38.25,244.76,543.87
6,69.87,45.21,24.66,0,47.86,237.76,815.82
7,56.02,29.34,26.68,0,34.35,228.2,637.17
8,58.49,33.05,25.44,0,36.17,225.76,738.61
9,36.55,13.53,23.02,0,17.98,209.29,681.24
10,40.8,12.96,27.84,0,15.1,216.03,918.77
11,78.96,54.68,24.28,0,58.97,231.46,372.91
12,88.44,63.72,24.72,0,69.9,246.47,329.16
Total,839.8,533.36,306.42,0,591.82,2954.49,7168.22
