Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,146.05,123.14,22.92,0,109.47,294.79,218.81
2,116.01,87.21,28.8,0,87.26,284.76,400.1
3,90.97,61.56,29.41,0,66.5,283.52,473.07
4,69.78,38.75,31.03,0,38.03,251.69,1038.69
5,71.21,40.68,30.53,0,38.62,244.76,543.87
6,84.09,55.53,28.56,0,57.08,237.76,815.82
7,77.65,47.37,30.28,0,44.37,228.2,637.17
8,65.84,37.15,28.69,0,41.44,225.76,738.61
9,45.73,18.24,27.49,0,21.44,209.29,681.24
10,54.93,24.57,30.36,0,26.06,216.03,918.77
11,99.67,73.87,25.8,0,62.02,231.46,372.91
12,118.98,91.88,27.1,0,86.43,246.47,329.16
Total,1040.91,699.95,340.97,0,678.72,2954.49,7168.22
