Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,101.43,77.21,24.22,0,101.92,294.79,218.81
2,100.37,69.13,31.24,0,90.85,284.76,400.1
3,73.44,44.77,28.67,0,63.41,283.52,473.07
4,55.9,26.35,29.55,0,37.78,251.69,1038.69
5,54.35,28.17,26.18,0,40.02,244.76,543.87
6,59.79,33.52,26.27,0,51.59,237.76,815.82
7,55.68,29.63,26.04,0,41.45,228.2,637.17
8,62.71,33.14,29.57,0,51.79,225.76,738.61
9,44.0,18.89,25.11,0,28.73,209.29,681.24
10,38.71,14.9,23.81,0,19.92,216.03,918.77
11,73.63,46.56,27.08,0,65.9,231.46,372.91
12,88.86,61.49,27.37,0,80.45,246.47,329.16
Total,808.87,483.76,325.11,0,673.81,2954.49,7168.22
