Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,77.25,48.57,28.68,0,48.82,227.75,546.08
2,79.31,54.38,24.93,0,59.25,218.6,357.84
3,75.85,49.86,25.99,0,54.49,213.73,485.54
4,73.6,51.81,21.79,0,58.9,232.65,305.55
5,77.9,52.78,25.12,0,56.45,222.37,455.78
6,68.79,43.23,25.55,0,50.24,216.53,386.94
7,61.09,34.0,27.09,0,39.31,217.32,522.22
8,118.35,94.76,23.59,0,99.88,235.82,237.0
9,121.81,98.81,23.0,0,110.32,262.05,202.0
10,113.9,94.97,18.93,0,106.4,279.3,177.15
11,143.31,125.29,18.02,0,140.33,309.62,82.67
12,104.2,82.67,21.53,0,95.6,264.11,239.62
Total,1115.36,831.13,284.22,0,919.99,2899.85,3998.39
