Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,144.98,125.82,19.17,0,122.68,294.79,125.04
2,133.36,111.79,21.57,0,110.83,284.76,228.63
3,106.03,84.56,21.47,0,89.62,283.52,270.33
4,77.61,48.8,28.81,0,56.51,251.69,593.53
5,92.59,69.24,23.36,0,69.59,244.76,310.78
6,93.15,68.69,24.46,0,70.33,237.76,466.18
7,95.29,68.98,26.31,0,70.89,228.2,364.1
8,93.18,68.77,24.41,0,69.02,225.76,422.06
9,90.48,64.17,26.32,0,61.43,209.29,389.28
10,70.55,43.88,26.67,0,46.71,216.03,525.01
11,113.82,93.0,20.82,0,89.1,231.46,213.09
12,128.15,107.32,20.83,0,101.86,246.47,188.09
Total,1239.19,955.02,284.2,0,958.57,2954.49,4096.12
