Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,145.66,111.58,34.08,0,204.43,490.28,125.24
2,131.54,97.28,34.26,0,204.23,606.17,242.35
3,153.7,112.44,41.26,0,212.59,520.41,262.92
4,96.89,57.8,39.09,0,101.29,312.8,584.61
5,109.21,74.22,34.99,0,140.2,382.64,299.65
6,91.16,56.25,34.91,0,101.03,260.65,471.49
7,78.34,43.73,34.61,0,83.26,175.47,358.87
8,89.18,54.65,34.52,0,86.76,193.69,458.28
9,101.01,62.59,38.42,0,109.02,189.8,372.9
10,80.34,46.46,33.88,0,75.15,222.8,509.06
11,123.41,88.15,35.27,0,146.43,287.05,224.55
12,127.92,93.66,34.26,0,190.58,504.98,199.09
Total,1328.36,898.81,429.55,0,1654.97,4146.74,4109.01
