Run,Total Cost,Bill Cost,Battery Cost,Impaired,CO2,House Consumption,Production
1,105.12,95.53,9.59,0,86.4,258.78,73.97
2,102.14,92.0,10.14,0,91.31,300.73,111.86
3,98.59,87.36,11.23,0,88.78,234.1,85.91
4,89.51,79.2,10.31,0,74.87,238.69,124.07
5,88.41,76.77,11.63,0,75.29,245.2,139.69
6,77.64,70.17,7.48,0,69.57,234.18,81.09
7,145.7,136.09,9.61,0,121.22,355.08,46.8
8,198.11,190.9,7.21,0,184.74,678.23,46.31
9,151.87,143.39,8.48,0,138.97,426.82,22.43
10,160.4,152.44,7.96,0,160.33,551.51,42.7
11,152.2,143.78,8.42,0,152.74,536.72,61.03
12,145.33,136.52,8.81,0,149.18,503.75,53.94
Total,1515.02,1404.15,110.87,0,1393.4,4563.79,889.8
